FALL,,,,,,,
Fall 2026 Course Schedule - Graduate,,,,,,,
"August 19, 2026 to December 4, 2026",,,,,,,
Changes are in red,,,,,,,
Course Code,Course Name,Professor,Start Time,End Time,Days,Room,Meeting Type
COUN 5317 1,Practicum for School Counseling,Linda Hart,,,,,OF - Online Flexible
EDUC 5323 1,Practicum-2 (Spring),David Aslin,,,,,OF - Online Flexible
MBA 5311 1,Managerial Economics,Alice Gong,,,,,OF - Online Flexible
MBA 5312 1,Managerial Accounting and Budgeting,Tawfiq Aburaqabeh,5:00 PM,6:30 PM,Wed,823,H - Hybrid
MBA 5313 1,Statistics for Business Decision-Making,Riaz Mahmood,5:00 PM,6:30 PM,Tue,815,H - Hybrid
MBA 5314 1,Marketing Management,Yaseen Bhutto,5:00 PM,6:30 PM,Mon,822,H - Hybrid
MBA 5315 1,Leadership in Organizations,Richard Alrayes,,,,,OF - Online Flexible
MBA 5317 1,Business Policy and Strategy,Yaseen Bhutto,,,,,OF - Online Flexible
MBA 5319 1,Financial Management,John Topuz,,,,,OF - Online Flexible
MBA 5343 1,Health Care Finance,Richard Alrayes,,,,,OF - Online Flexible
MBA 5355 1,Data Analysis and Forecasting,John Topuz,,,,,OF - Online Flexible
MBA 5361 1,Operations Management,Gokay Besli,,,,,OF - Online Flexible
MBA 5390 1,Thesis Research,Selahattin Bekmez,,,,,OF - Online Flexible
MBA 5391 1,Thesis Writing,TBD,,,,,OF - Online Flexible
MBA 5399 1,Internship,Selahattin Bekmez,,,,,I - Internship
PCP 0300 1,Principal Exam and PASL Preparation,David Aslin,,,,,OF - Online Flexible
Spring I - Course Schedule,,,,,,,
"January 14, 2026 to March 6, 2026",,,,,,,
Course Code,Course Name,Professor,Start Time,End Time,Days,Room,Meeting Type
COUN 5312 1,Individual Counseling Theories and Techniques,Linda Hart,,,,,OF - Online Flexible
COUN 5315 1,Developmental Guidance and Counseling,Linda Hart,,,,,OF - Online Flexible
CUIN 5341 1,Seminar in Curriculum and Instruction 1,Karman Kurban,4:30 PM,6:00 PM,Tue,827,H - Hybrid
CUIN 5341 2,Seminar in Curriculum and Instruction 1,Harun Yilmaz,,,,,OF - Online Flexible
CUIN 5341 3,Seminar in Curriculum and Instruction 1,Ann Marie Smith,,,,,OF - Online Flexible
CUIN 5341 4,Seminar in Curriculum and Instruction 1,Laszlo Vass,,,,,OF - Online Flexible
EDUC 5315 1,Instruction Teacher Supervision and Evaluation,Wendy Schulze,3:00 PM,4:30 PM,Wed,825,H - Hybrid
EDUC 5325 1,Research Methods in Education,David Aslin,,,,,OF - Online Flexible
Spring II - Course Schedule,,,,,,,
"March 18, 2026 to May 8, 2026",,,,,,,
Course Code,Course Name,Professor,Start Time,End Time,Days,Room,Meeting Type
COUN 5313 1,Counseling Children and Adolescents,Linda Hart,4:30 PM,6:00 PM,Thu,824,H - Hybrid
COUN 5327 1,Ethics in Professional Counseling,Linda Hart,,,,,OF - Online Flexible
CUIN 5342 1,Seminar in Curriculum and Instruction 2,Selahattin Cinar,4:30 PM,6:00 PM,Tue,829,H - Hybrid
CUIN 5342 2,Seminar in Curriculum and Instruction 2,Harun Yilmaz,4:30 PM,6:00 PM,Wed,827,H - Hybrid
CUIN 5342 3,Seminar in Curriculum and Instruction 2,Ann Marie Smith,12:00 PM,1:30 PM,Mon,847,H - Hybrid
EDUC 5312 1,Curriculum and Instructional Design,Harun Yilmaz,3:00 PM,4:30 PM,Fri,822,H - Hybrid
EDUC 5329 1,Organizational Management,Wendy Schulze,3:00 PM,4:30 PM,Fri,823,H - Hybrid
Spring VI - Course Schedule,,,,,,,
"January 14, 2026 to May 8, 2026",,,,,,,
Course Code,Course Name,Professor,Start Time,End Time,Days,Room,Meeting Type
EDUC 0011,Pedagogy and Professional Responsibility,Kerime Sari,,,,,OF - Online Flexible
EDUC 0012,Internship Semester I,Kerime Sari,,,,,I - Internship
EDUC 0013,Internship semester 2,Kerime Sari,,,,,I - Internship
,,,,,,,
,Course Meeting Types,,,,,,
,H - Hybrid:,Attend class in-person and via webinar on an alternating basis.,,,,,
,I - Internship:,Attend supervised experience in the field at an approved site.,,,,,
,IP - In Person,Attend class in-person during scheduled class time.,,,,,
,OF - Online Flexible:,Attend class via live webinar scheduled by instructor or view recorded webinar and submit summary of webinar by due date set by instructor.,,,,,
,OS - Online Synchronous:,Attend class via live webinar during scheduled class time.,,,,,
