FALL,,,,,,,
Fall 2026 Course Schedule - Undergraduate,,,,,,,
"August 19, 2026 to December 4, 2026",,,,,,,
Changes are in red,,,,,,,
Course Code,Course Name,Professor,Start Time,End Time,Days,Room,Meeting Type
ENGL 1311 1,Composition and Rhetoric I,Stacy Burleson,4:30 PM,6:00 PM,Thu,,H - Hybrid
ENGL 1311 2,Composition and Rhetoric I,TBD,10:00 AM,11:30 AM,"Tues, Thur",,IP - In Person
ENGL 1312 1,Composition and Rhetoric II,LaTisha Metts,8:30 AM,10:00 AM,Tue,,H - Hybrid
ENGL 1312 2,Composition and Rhetoric II,LaTisha Metts,2:30 PM,4:00 PM,Tue,,H - Hybrid
ENGL 2316 1,American Literature I,Anne Marie Smith,11:30 AM,1:00 PM,Wed,,H - Hybrid
ENGL 2315 1,British Literature I,Anne Marie Smith,11:30 AM,1:00 PM,Thu,,H - Hybrid
ENGL 3328 1,Teaching Elementary Literacy 1,Ann Marie Smith,10:00 AM,11:30 AM,Thu,,H - Hybrid
ENGL 3330 1,Literacy Assessment and Intervention,Ann Marie Smith,10:00 AM,11:30 AM,Wed,,H - Hybrid
ENGL R300 1,Basic Writing,LaTisha Metts,8:30 AM,10:00 AM,"Mon, Wed",,IP - In Person
ENGL R301 1,Development of Reading Skills,LaTisha Metts,11:30 AM,1:00 PM,"Mon, Wed",,IP - In Person
FINA 1312 1,Principles of Finance,TBD,2:30 PM,4:00 PM,"Tues, Thur",,IP - In Person
FINA 3312 1,Business Finance,TBD,10:00 AM,11:30 AM,"Mon, Wed",,IP - In Person
FINA 4314 1,Investments,Riaz Mahmood,,,,,OF - Online Flexible
FINA 4315 1,Financial Analysis and Valuation,John Topuz,1:00 PM,2:30 PM,"Mon, Wed",,IP - In Person
FINA 4316 1,International Finance,John Topuz,2:30 PM,4:00 PM,Wed,,H - Hybrid
FORS 3332 1,Forensic Biology,Mike Fulton,,,,,OS - Online Synchronous
FORS 4334 1,Forensic Studies Experience,Mike Fulton,,,,,H - Hybrid
FRSH 1311 1,Freshman Seminar,Donald Gary,10:00 AM,11:30 AM,"Tues, Thur",,IP - In Person
FRSH 1311 2,Freshman Seminar,Donald Gary,11:30 AM,1:00 PM,"Mon, Wed",,IP - In Person
GEOG 2312 1,Regional Geography in the World,Suleyman Incekara,,,,,OF - Online Flexible
GEOL 1311 1,Earth Science,Suleyman Incekara,,,,,OF - Online Flexible
GOVT 2311 1,U.S. Government I,Shirley Gruen,2:30 PM,4:00 PM,Thu,,H - Hybrid
GOVT 2312 1,U.S. Government II,Shirley Gruen,4:00 PM,5:30 PM,Thu,,H - Hybrid
HIST 1311 1,U.S. History I,Christopher Gerdes,5:30 PM,7:00 PM,Wed,,IP - In Person
HIST 1312 1,U.S. History II,Gul Musavi,11:30 AM,1:00 PM,Tue,,H - Hybrid
HIST 2311 1,World History,Gul Musavi,,,,,OF - Online Flexible
HIST 2314 1,History of Texas,Christopher Gerdes,,,,,OF - Online Flexible
MATH 1311 1,College Algebra,Micheal Baker,11:30 AM,1:00 PM,"Mon, Wed",,IP - In Person
MATH 1311 2,College Algebra,Alina Rajbhandari,9:00 AM,11:00 AM,Fri,,OS - Online Synchronous
MATH 1312 1,Statistics,Micheal Baker,10:00 AM,11:30 AM,"Tues, Thur",,IP - In Person
MATH 1313 1,Precalculus,Alina Rajbhandari,8:30 AM,10:00 AM,Wed,,H - Hybrid
MATH 2314 1,Calculus I,Micheal Baker,8:30 AM,10:00 AM,"Tues, Thur",,IP - In Person
MATH 2315 1,Calculus II,Alina Rajbhandari,10:00 AM,11:30 AM,"Tues, Thur",,IP - In Person
MATH 2317 1,Discrete Mathematics,Micheal Baker,10:00 AM,11:30 AM,"Mon, Wed",,IP - In Person
MATH 3326,Introduction to Number Theory,Alina Rajbhandari,10:00 AM,11:30 AM,"Mon, Wed",,H - Hybrid
MATH 3328 1,Teaching Elementary School Mathematics I,Karman Kurban,3:00 PM,4:30 PM,Thu,,H - Hybrid
MATH R300 1,Fundamentals of Mathematics,Micheal Baker,11:30 AM,1:00 PM,"Tues, Thur",,IP - In Person
MNGT 4314 1,Small Business Management,Richard Alrayes,1:00 PM,2:30 PM,"Tues, Thur",,IP - In Person
MNGT 4315 1,Leadership in Organizations,Richard Alrayes,8:30 AM,10:00 AM,"Tues, Thur",,IP - In Person
MNGT 4318 1,Project Management,Richard Alrayes,4:00 PM,5:30 PM,"Tues, Thur",,IP - In Person
MRKT 2311 1,Principles of Marketing,Yaseen Bhutto,4:00 PM,5:30 PM,"Tues, Thur",,IP - In Person
MRKT 4312 1,International Marketing,Yaseen Bhutto,,,,,OF - Online Flexible
PHED 1112 1,Varsity Track/Field,Kenneth Apande,TBA,TBA,TBA,,IP - In Person
PHED 1114 1,Varsity Basketball,Bryan Doze,TBA,TBA,TBA,,IP - In Person
PHED 1115 1,Varsity Soccer,Kenneth Apande,TBA,TBA,TBA,,IP - In Person
PHED 2312 1,"The concepts of Health, Fitness and Wellness",Tomas Green,8:30 AM,10:00 AM,"Mon, Wed",,IP - In Person
PHED 2313 1,Physiology of Exercise,Tomas Green,11:30 AM,1:00 PM,"Mon, Wed",,IP - In Person
PHED 2314 1,Motor Learning and Development,Tomas Green,10:00 AM,11:30 AM,"Wed, Fri",,IP - In Person
PHED 3318 1,Scientific Principles of,Tomas Green,2:30 PM,4:00 PM,"Tues, Thur",,IP - In Person
PHED 4320 1,Physical Education Teaching Methods,Tomas Green,11:30 AM,1:00 PM,"Tues, Thur",,IP - In Person
PHIL 1311 1,Introduction to Logic and Critical Thinking,Stacy Burleson,,,,,OF - Online Flexible
PHIL 1312 1,Professional Ethics,Stacy Burleson,,,,,OF - Online Flexible
PSYC 2311 1,General Psychology,Deborah McGinty,10:00 AM,11:30 AM,Wed,,H - Hybrid
